,Gene,Gene2,Correlation
283767,ATG12,ATG7,0.394
283768,ATG12,RB1CC1,0.359
283769,ATG12,ATG10,0.353
283770,ATG12,ATG3,0.341
283771,ATG12,ATG101,0.335
283772,ATG12,ATG9A,0.31
283773,ATG12,ATG13,0.26
283774,ATG12,ATG5,0.254
283775,ATG12,ULK1,0.222
283776,ATG12,ATG14,0.214
283777,ATG12,EPG5,0.212
283778,ATG12,ZFYVE1,0.211
283779,ATG12,MCCC2,0.21
283780,ATG12,ATG16L1,0.193
283781,ATG12,NUP210L,0.193
283782,ATG12,ANGPT1,0.193
283783,ATG12,TPD52,0.19
283784,ATG12,OIP5,-0.188
283785,ATG12,SP8,-0.188
283786,ATG12,GNG8,0.185
283787,ATG12,PCDHA1,0.184
283788,ATG12,LARS1,0.182
283789,ATG12,CCNG1,0.179
283790,ATG12,KEAP1,0.17800000000000002
283791,ATG12,ZCCHC10,0.17800000000000002
283792,ATG12,DEPDC5,0.177
283793,ATG12,FAM170B,-0.177
283794,ATG12,RFX2,-0.17600000000000002
283795,ATG12,YTHDC2,0.175
283796,ATG12,ATG4B,0.175
283797,ATG12,CHCHD4,-0.173
283798,ATG12,C1S,-0.171
283799,ATG12,MYO1C,-0.17
283800,ATG12,CPXCR1,-0.17
283801,ATG12,SUMO2,0.168
283802,ATG12,PCDHGC5,0.168
283803,ATG12,GCH1,0.16699999999999998
283804,ATG12,ZMYND10,-0.16699999999999998
283805,ATG12,FSTL4,0.16699999999999998
283806,ATG12,UNC5CL,-0.166
283807,ATG12,PIGQ,-0.166
283808,ATG12,RRM2B,0.166
283809,ATG12,FER,0.166
283810,ATG12,BTG1,0.165
283811,ATG12,DCUN1D2,0.165
283812,ATG12,ZNF703,0.16399999999999998
283813,ATG12,CA2,0.163
283814,ATG12,TRIM16L,0.163
283815,ATG12,RASA1,0.162
283816,ATG12,RHOXF1,-0.162
283817,ATG12,CRTAM,0.162
283818,ATG12,ROS1,-0.162
283819,ATG12,TAMM41,-0.162
283820,ATG12,KRTAP13-3,-0.161
283821,ATG12,DPEP3,-0.161
283822,ATG12,KCTD5,0.161
283823,ATG12,MX1,-0.161
283824,ATG12,SETD9,0.16
283825,ATG12,CDK11A,0.16
283826,ATG12,RAP1A,0.16
283827,ATG12,GDF9,0.16
283828,ATG12,CCDC140,-0.16
283829,ATG12,H2AC12,-0.159
283830,ATG12,CCDC159,0.159
283831,ATG12,SUN3,-0.159
283832,ATG12,ZCCHC9,0.158
283833,ATG12,HMX1,0.157
283834,ATG12,CXCL17,0.157
283835,ATG12,ZNF474,0.157
283836,ATG12,CCDC120,0.157
283837,ATG12,ZCCHC13,-0.156
283838,ATG12,CCNYL1,0.156
283839,ATG12,LAMB4,0.156
283840,ATG12,C1orf131,0.155
283841,ATG12,PTPN3,0.155
283842,ATG12,TAF9,0.154
283843,ATG12,GPC3,0.154
283844,ATG12,RPL36AL,0.154
283845,ATG12,GOT2,0.153
283846,ATG12,DNAH5,-0.153
283847,ATG12,USP1,0.153
283848,ATG12,LYVE1,-0.153
283849,ATG12,PROM1,-0.153
283850,ATG12,GPR176,0.152
283851,ATG12,SERPINB2,-0.152
283852,ATG12,FAM221A,-0.152
283853,ATG12,CD200R1,0.152
283854,ATG12,SCIMP,0.152
283855,ATG12,WDR18,-0.151
283856,ATG12,TBC1D30,0.151
283857,ATG12,RNASE2,0.151
283858,ATG12,SPATA9,0.151
283859,ATG12,THTPA,0.151
283860,ATG12,GPATCH11,0.151
283861,ATG12,SNX11,0.15
283862,ATG12,GZMA,0.15
283863,ATG12,NSF,0.15
283864,ATG12,ZNF285,0.15
283865,ATG12,CFAP45,0.149
283866,ATG12,CARTPT,0.14800000000000002
283867,ATG12,RNMT,-0.209
283868,ATG12,FAM210A,-0.194
283869,ATG12,GDNF,-0.192
283870,ATG12,SSH1,-0.189
283871,ATG12,CMTR1,-0.188
283872,ATG12,CUL7,-0.184
