,Gene,Compound,Correlation
0,SMARCA4,SMARCD1,0.276
1,SMARCA4,SMARCB1,0.273
2,SMARCA4,SMARCE1,0.273
3,SMARCA4,SMARCC1,0.235
4,SMARCA4,PDCD2,-0.21
5,SMARCA4,BICRA,0.20199999999999999
6,SMARCA4,BTBD7,-0.201
7,SMARCA4,ACTR3,-0.2
8,SMARCA4,BRD9,0.198
9,SMARCA4,VHL,0.19399999999999998
10,SMARCA4,ARID1A,0.187
11,SMARCA4,CLNS1A,-0.187
12,SMARCA4,LSM5,-0.183
13,SMARCA4,EP300,0.179
14,SMARCA4,MLLT1,0.179
15,SMARCA4,CCNE1,0.17800000000000002
16,SMARCA4,NF2,0.175
17,SMARCA4,HTT,0.174
18,SMARCA4,ZNF346,-0.17
19,SMARCA4,TRIP11,-0.16899999999999998
20,SMARCA4,HIVEP1,0.16899999999999998
21,SMARCA4,ARPC3,-0.16899999999999998
22,SMARCA4,DPM3,-0.168
23,SMARCA4,PTPN14,0.166
24,SMARCA4,SGF29,0.165
25,SMARCA4,ARID2,0.16399999999999998
26,SMARCA4,ERP44,-0.16399999999999998
27,SMARCA4,JUN,-0.163
28,SMARCA4,GNPTAB,-0.162
29,SMARCA4,DPF2,0.162
30,SMARCA4,UBALD1,-0.161
31,SMARCA4,TYK2,0.16
32,SMARCA4,MAGEA4,-0.158
33,SMARCA4,ZNF143,0.158
34,SMARCA4,RABGGTB,-0.158
35,SMARCA4,DYTN,-0.156
36,SMARCA4,CTNNB1,-0.155
37,SMARCA4,SBSN,0.154
38,SMARCA4,SS18,0.154
39,SMARCA4,NXT1,0.154
40,SMARCA4,MARK3,-0.152
41,SMARCA4,ANGPTL8,0.152
42,SMARCA4,TIPARP,-0.152
43,SMARCA4,RPL30,-0.151
44,SMARCA4,CD79A,0.151
45,SMARCA4,TRIO,-0.15
46,SMARCA4,FKRP,0.15
47,SMARCA4,C3orf38,-0.149
48,SMARCA4,TCF7L2,-0.149
49,SMARCA4,TIAL1,-0.14800000000000002
50,SMARCA4,PBRM1,0.14800000000000002
51,SMARCA4,SF3A2,0.14800000000000002
52,SMARCA4,NMT1,0.14800000000000002
53,SMARCA4,LASP1,-0.14800000000000002
54,SMARCA4,SRI,-0.14800000000000002
55,SMARCA4,CDC25B,-0.147
56,SMARCA4,PGAP2,-0.147
57,SMARCA4,HIBADH,-0.147
58,SMARCA4,SF3A1,0.147
59,SMARCA4,SCUBE3,0.147
60,SMARCA4,THAP1,0.147
61,SMARCA4,MED15,0.147
62,SMARCA4,GLYATL3,0.147
63,SMARCA4,EIF3F,0.147
64,SMARCA4,ORC4,-0.147
65,SMARCA4,AMOTL2,0.146
66,SMARCA4,ELMO2,-0.146
67,SMARCA4,MYO1B,-0.146
68,SMARCA4,CNN3,-0.146
69,SMARCA4,EEF1AKMT2,-0.146
70,SMARCA4,TFAP2B,0.146
71,SMARCA4,AMH,0.146
72,SMARCA4,SOX4,0.146
73,SMARCA4,ACTL9,0.145
74,SMARCA4,TANC2,0.145
75,SMARCA4,ANKLE2,0.145
76,SMARCA4,METTL15,-0.145
77,SMARCA4,SMARCA2,-0.14400000000000002
78,SMARCA4,ACO2,0.14400000000000002
79,SMARCA4,FOSL1,-0.14400000000000002
80,SMARCA4,ZNF789,-0.14400000000000002
81,SMARCA4,RPF2,-0.14300000000000002
82,SMARCA4,ZFP36L1,-0.14300000000000002
83,SMARCA4,CERT1,-0.14300000000000002
84,SMARCA4,DPH6,0.142
85,SMARCA4,CDH2,-0.142
86,SMARCA4,KIRREL1,0.142
87,SMARCA4,ERAP1,-0.142
88,SMARCA4,MAP3K2,-0.142
89,SMARCA4,BHLHA15,-0.142
90,SMARCA4,TLK1,-0.141
91,SMARCA4,RHOG,-0.141
92,SMARCA4,MYBL2,0.141
93,SMARCA4,PCYT1A,-0.141
94,SMARCA4,IFNA4,-0.141
95,SMARCA4,ASNS,-0.141
96,SMARCA4,MDK,-0.14
97,SMARCA4,TRNAU1AP,0.14
98,SMARCA4,TAF2,-0.14
99,SMARCA4,DEK,0.139
100,SMARCA4,DIPK1B,-0.27
101,SMARCA4,SQOR,0.244
102,SMARCA4,PLGRKT,0.242
103,SMARCA4,TAP1,0.23600000000000002
104,SMARCA4,ABCC5,-0.222
105,SMARCA4,HIC2,-0.221
106,SMARCA4,KLRG2,-0.215
107,SMARCA4,HFM1,-0.214
108,SMARCA4,WASHC3,0.213
109,SMARCA4,GAS6,0.213
110,SMARCA4,HLA-C,0.212
111,SMARCA4,MVP,0.21
112,SMARCA4,ZBTB10,-0.207
